word,valence,arousal,dominance,Publication,Political Compass/Theme
cartoon,0.7780373832139269,0.5248713551230548,0.7669902912395136,Percy The Pig,Film & Animation
live,0.6261682243750546,0.6419382504544351,0.8058252427481383,Percy The Pig,Film & Animation
pig,0.5140186916595335,0.4489708404827237,0.4660194175209728,Percy The Pig,Film & Animation
live,0.6261682243750546,0.6419382504544351,0.8058252427481383,Percy The Pig,Film & Animation
pig,0.5140186916595335,0.4489708404827237,0.4660194175209728,Percy The Pig,Film & Animation
live,0.6261682243750546,0.6419382504544351,0.8058252427481383,Percy The Pig,Film & Animation
live,0.6261682243750546,0.6419382504544351,0.8058252427481383,Percy The Pig,Film & Animation
live,0.6261682243750546,0.6419382504544351,0.8058252427481383,Percy The Pig,Film & Animation
pig,0.5140186916595335,0.4489708404827237,0.4660194175209728,Percy The Pig,Film & Animation
brand,0.4205607476832037,0.5969125214095777,0.4781553398037043,Percy The Pig,Film & Animation
new,0.7692757009705269,0.4939965695275811,0.5825242719012159,Percy The Pig,Film & Animation
pig,0.5140186916595335,0.4489708404827237,0.4660194175209728,Percy The Pig,Film & Animation
live,0.6261682243750546,0.6419382504544351,0.8058252427481383,Percy The Pig,Film & Animation
song,0.9439252336422395,0.5351629502186303,0.6407766990913374,DanTDM,Gaming
one,0.5981308411961743,0.4631217839321072,0.7087378640493919,DanTDM,Gaming
hour,0.5414719626421248,0.345676521036359,0.5825242719012159,DanTDM,Gaming
award,0.8208722742439659,0.7307032590414223,0.8155339806617022,DanTDM,Gaming
worth,0.8037383177478382,0.4939965695275811,0.6310679611777735,DanTDM,Gaming
friend,0.9252336449030482,0.4631217839321072,0.718446601962956,DanTDM,Gaming
tablet,0.5887850467564852,0.339622641550212,0.7087378640493919,DanTDM,Gaming
door,0.5327102803987247,0.3293310463002628,0.6407766990913374,DanTDM,Gaming
ball,0.6203271028327255,0.3814322469926248,0.6783980582697473,DanTDM,Gaming
cost,0.4018691589440125,0.6895368781959993,0.3009708737185408,DanTDM,Gaming
believe,0.663551401853437,0.5557461407185287,0.6601941747728344,DanTDM,Gaming
year,0.4672897196012751,0.3704974271456858,0.4690533980552479,DanTDM,Gaming
car,0.5327102803987247,0.4837049742776318,0.572815533987652,Jelly,Gaming
king,0.5327102803987247,0.6544243769910972,0.6310679611777735,Jelly,Gaming
airplane,0.5981308411961743,0.6689536878504747,0.3592233009086624,Jelly,Gaming
door,0.5327102803987247,0.3293310463002628,0.6407766990913374,Jelly,Gaming
face,0.5950155762894866,0.4013722127411596,0.6310679611777735,Jelly,Gaming
face,0.5950155762894866,0.4013722127411596,0.6310679611777735,Jelly,Gaming
bridge,0.6261682243750546,0.411663807836735,0.572815533987652,Jelly,Gaming
quit,0.2523364486099223,0.7101200686958977,0.3883495145037233,Jelly,Gaming
painter,0.6728971962931259,0.2984562607047889,0.7087378640493919,Jelly,Gaming
get,0.6261682243750546,0.5068610634742372,0.8058252427481383,Jelly,Gaming
crushed,0.3574766355307232,0.6483704975049501,0.2718446601234801,Jelly,Gaming
face,0.5950155762894866,0.4013722127411596,0.6310679611777735,Jelly,Gaming
face,0.5950155762894866,0.4013722127411596,0.6310679611777735,Jelly,Gaming
switch,0.5327102803987247,0.411663807836735,0.6601941747728344,Jelly,Gaming
funny,0.7663551402694558,0.6998284734459485,0.8349514563431991,Jelly,Gaming
golf,0.5327102803987247,0.2911916051979132,0.4053398058160524,Jelly,Gaming
year,0.4672897196012751,0.3704974271456858,0.4690533980552479,Jeremy Lynch,People & Blogs
old,0.2990654205279937,0.4219554030866842,0.145631067975304,Jeremy Lynch,People & Blogs
